"Bykov_Iyun" "Bykov_Sto_Nochey" "Dubovitsky_Mashinka" "Dubovitsky_Okolonolya" "Erofeev_Akimudy" "Erofeev_Apokalipsis" "Sorokin_Istoria" "Sorokin_Manaraga" "Sorokin_Oprichnik" "Sorokin_Salo"
"и" 3.86177251297492 3.5301455583352 4.70504441092676 5.11369568394897 2.57494330971584 2.38057551679382 3.79676546123412 3.67526909609649 2.79747479280735 3.35379809893099
"в" 2.27011608097936 2.86777716761242 2.18912351265292 2.45766427930091 3.14143083785333 3.47431067776758 3.56423960574721 2.82194267928933 2.64189330700416 2.63753130301317
"не" 2.93867120954003 1.77151341346838 2.43107926931456 2.44304775427533 1.91791745230125 2.10832884864985 1.33615603526064 1.57956166515368 1.54384705143165 1.54562834908582
"на" 1.11822035577037 0.930841146839682 1.51143790849673 1.41780292748116 1.73850204749524 1.66355376871696 1.61379884778233 2.01011541953054 1.76525147353619 1.84990710073512
"что" 1.98288498870885 1.93219029023532 1.34908664320429 1.25493307719613 1.21354586306285 1.20611605305644 0.798223085999861 0.752172221501751 0.703108637764414 0.72973045749522
"с" 1.10831583534725 0.865756842326493 0.978297301826714 0.935457601637051 1.2775041323687 1.2583494254329 1.48538904699105 1.18013227856309 1.30149896777668 1.38675714247247
"я" 0.755714908284141 0.977620490708538 0.591796547678901 0.684888601198555 1.59812610577203 0.876887524138149 0.85722218366072 1.28906756581507 0.640277653113126 0.963998168942026
"он" 1.74517649855394 1.12609406037925 0.69549187196246 0.634774801110856 0.891262635911322 0.667954034632309 0.399111542999931 0.7910776812346 0.287227358405888 0.541239195411584
"а" 1.00233746681986 0.823045267489712 1.02124183006536 1.04194942682341 0.681114036763545 0.645794422108962 0.770458804747692 0.715860459084425 1.34937019417766 0.735115922126181
"это" 0.948853056535003 1.76541175992027 0.361362493715435 0.309035100540811 0.619647648080006 0.642628763177055 0.628166863330326 0.702891972506808 0.347066391407115 0.608557503298597
"как" 0.848817400261479 0.964739222106969 0.866222557399028 0.881167651542043 0.681944663637647 0.873721865206243 0.655931144582495 0.61729996109454 0.744995960865272 0.631445727980182
"но" 1.20339923140922 0.73287638727873 0.599128540305011 0.536635275939112 0.799063052886013 0.830985469625503 0.437287429721663 0.536895344313319 0.35903419800736 0.360826130274389
"то" 0.87258824927697 0.779655731147585 0.970965309200603 0.847758451483577 0.422789078917859 0.473266010320048 0.409523148469494 0.243807547659188 0.439816892559016 0.286775991598675
"по" 0.422923022067272 0.449488478044217 0.668258756494051 0.624334426092585 0.677791529267138 0.618886321187755 0.669813285208579 0.586175593308261 0.903569398318523 0.56951288472413
"к" 0.472445624182877 0.464403631161823 0.488101223395341 0.463552650811217 0.818167470990356 0.531830700560322 0.364406191434719 0.456490727532097 0.481704215659875 0.622021164876
"его" 0.573471732498712 0.739656002332188 0.572942852354617 0.482345325844104 0.407837795184025 0.455854886194561 0.399111542999931 0.505770976527039 0.248331986955091 0.538546463096104
"у" 0.501168733409928 0.600673893736314 0.49333836098542 0.350796600613894 0.675299648644832 0.478014498717908 0.395641007843409 0.443522240954481 0.586422523412022 0.341977004066026
"из" 0.321896913751436 0.446776632022834 0.612745098039216 0.603453676056044 0.382918988960969 0.473266010320048 0.607343652391199 0.497989884580469 0.62830984651288 0.600479306352156
"все" 1.00134701477754 0.179659798916618 0.208438076085135 0.175398300306947 0.459336661378342 0.459020545126468 0.451169570347748 0.573207106730645 0.580438620111899 0.503540942994857
